Applicant,FacilityType,Status,FoodItems,Latitude,Longitude
Leo's Hot Dogs,Push Cart,APPROVED,Hot dogs and related toppings: non alcoholic beverages,37.76008693198698,-122.41880648110114
Casita Vegana,Truck,APPROVED,Coffee: Vegan Pastries: Vegan Hot Dogs: Vegan Tamales: Te: Vegan Shakes,37.72188970870838,-122.4925212449949
Sunset Mercantile/Outer Sunset Farmers Market & Mercantile,Truck,REQUESTED,Multiple Food Trucks & Food Types,37.74732654654123,-122.49628067270532
El Calamar Perubian Food Truck,Truck,APPROVED,Lomo Saltado: Jalea: Ceviche: Calamar: Tilapia plate: chicken special. Soda: Water.,37.78845702882892,-122.3998841605663
"BOWL'D ACAI, LLC.",Truck,REQUESTED,Acai Bowls: Smoothies: Juices,37.79357693326183,-122.40322987670132
"BOWL'D ACAI, LLC.",Truck,REQUESTED,Acai Bowls: Smoothies: Juices,37.78021548028814,-122.41602577015112
MOMO INNOVATION LLC,Truck,APPROVED,Noodles: Meat & Drinks,37.792870749741496,-122.4007474940767
MOMO INNOVATION LLC,Truck,APPROVED,MOMO Spicy Noodle: POPO's Noodle: Spicy Chicken Noodle: Rice Noodles,37.79294895283466,-122.39809861316652
Buenafe,Truck,APPROVED,Tacos: Burritos: Quesadillas: Tortas,37.74574924062031,-122.3924814876784
MOMO INNOVATION LLC,Truck,APPROVED,Noodles,37.78844615690132,-122.3986412420388
Buenafe,Truck,APPROVED,Tacos: Burritos: Quesadillas: Tortas,37.73944545286909,-122.39301498669842
MOMO INNOVATION LLC,Truck,APPROVED,Noodles,37.79092150726921,-122.4001004237385
"BOWL'D ACAI, LLC.",Truck,REQUESTED,Acai Bowls: Poke Bowls: Smoothies: Juices,37.80457786909011,-122.43301077434302
HalalCartSF LLC,Push Cart,REQUESTED,Gyros: Kebabs: soft drinks: and water,37.79094704192342,-122.39863358940372
"BOWL'D ACAI, LLC.",Truck,REQUESTED,Acai Bowls: Smoothies: Juices,37.79236678688307,-122.40014830676716
Philz Coffee Truck,Truck,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.79621549659414,-122.40375455824538
Philz Coffee Truck,Truck,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.79229559981873,-122.40070689723306
Buenafe,Truck,APPROVED,Tacos burritos quesadillas tortas pupusas flautas tamales,37.76612469442701,-122.39547306227009
MOMO INNOVATION LLC,Truck,APPROVED,Noodles: Meat & Drinks,37.7865580501799,-122.40103337534973
Truly Food & More,Truck,REQUESTED,Latin Food: Tacos: Pupusas: Vegetables: Salad: Water: Sodas,37.712302604744416,-122.43164419037294
Philz Coffee Truck,Truck,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.79279574157871,-122.40135328093122
Street Meet,Truck,REQUESTED,Burritos: Tacos: Tortas: Quesadillas & Various Drinks.,37.76785526935426,-122.42248440416164
Zuri Food Facilities,Truck,APPROVED,Peruvian Food Served Hot,37.792346385148,-122.40238532279396
Zuri Food Facilities,Truck,APPROVED,Peruvian Food Served Hot,37.78304609975,-122.39406659922962
La Jefa,Truck,REQUESTED,Tacos: burritos: quesadillas: tortas: nachos (refried beans: cheese sauce: salsa fresca): carnes (beef: chicken: marinated pork: fried pork): canned beans: rice: sodas: horchata drinks.,37.738726803987134,-122.40673602990492
Philz Coffee Truck,Truck,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.80457786909011,-122.43301077434302
Philz Coffee Truck,Truck,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.789385451039095,-122.4095912604668
Zuri Food Facilities,Truck,APPROVED,Peruvian Food Served Hot,37.792150548481686,-122.39399997405944
Tacos Rodriguez,Truck,SUSPEND,Tacos: burritos: quesadillas: soda & water,37.73911142974502,-122.38246497113636
Tacos Rodriguez,Truck,SUSPEND,Tacos: burritos: quesadillas: soda & water,37.74099473500238,-122.4011723353864
Tacos Rodriguez,Truck,SUSPEND,Tacos: burritos: quesadillas: soda & water,37.73967879180792,-122.38649338455488
Senor Sisig,Truck,APPROVED,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.,37.79294895283466,-122.39809861316652
Senor Sisig,Truck,APPROVED,Filipino fusion food: taco: burrito: nachos: rice plates,37.78561008636915,-122.40815476434544
Think is Good Inc.,Truck,REQUESTED,Lobster rolls: crab rolls: lobster burritos: crab burritos: chicken burritos: fish burritos: chicken burritos: poke bowls: soups: chips & soda.,37.793262206923096,-122.4017890913628
Tacos Rodriguez,Truck,SUSPEND,Tacos: burritos: quesadillas: soda & water,37.790485146128,-122.40094044068952
Zuri Food Facilities,Truck,APPROVED,Peruvian Food Served Hot,0.0,0.0
Think is Good Inc.,Truck,REQUESTED,Lobster rolls: crab rolls: lobster burritos: crab burritos: chicken burritos: fish burritos: chicken burritos: poke bowls: soups: chips & soda.,37.78886471534304,-122.39935935136296
Quan Catering,Truck,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.74417844737573,-122.38671592975922
Liang Bai Ping,Truck,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,0.0,0.0
Reecees Soulicious,Truck,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,37.74530890865633,-122.40342005999852
Mini Mobile Food Catering,Truck,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,37.79018557063344,-122.39547172580944
Got Snacks,Push Cart,REQUESTED,sunflower seeds: crackerjacks: bottled water: peanuts: candy,37.77551013804947,-122.39099930600248
The Chef Station,Truck,REQUESTED,South American/Peruvian food,37.7758255197583,-122.41724962664344
California Kahve,Truck,EXPIRED,Drip Coffee: Espresso Drinks: Matcha Green Tea: Black Teas: Herbal Teas: Crossaints: Savory and Sweet Breads,37.76360804110198,-122.50959579624612
